payment_id,loan_id,payment_date,emi_due,amount_paid,days_late,payment_status
PMT000001,LN00001,2023-10-20,18023.1,18023.1,0,On-time
PMT000002,LN00001,2023-11-19,18023.1,18023.1,0,On-time
PMT000003,LN00001,2023-12-19,18023.1,18023.1,0,On-time
PMT000004,LN00001,2024-01-18,18023.1,18023.1,0,On-time
PMT000005,LN00001,2024-02-17,18023.1,18023.1,0,On-time
PMT000006,LN00001,2024-03-18,18023.1,18023.1,13,Late
PMT000007,LN00001,2024-04-17,18023.1,18023.1,0,On-time
PMT000008,LN00001,2024-05-17,18023.1,18023.1,15,Late
PMT000009,LN00001,2024-06-16,18023.1,18023.1,0,On-time
PMT000010,LN00001,2024-07-16,18023.1,18023.1,0,On-time
PMT000011,LN00001,2024-08-15,18023.1,18023.1,0,On-time
PMT000012,LN00001,2024-09-14,18023.1,18023.1,5,Late
PMT000013,LN00001,2024-10-14,18023.1,18023.1,13,Late
PMT000014,LN00001,2024-11-13,18023.1,0.0,35,Missed
PMT000015,LN00001,2024-12-13,18023.1,18023.1,0,On-time
PMT000016,LN00001,2025-01-12,18023.1,18023.1,0,On-time
PMT000017,LN00001,2025-02-11,18023.1,18023.1,22,Late
PMT000018,LN00002,2024-12-23,425313.28,425313.28,0,On-time
PMT000019,LN00002,2025-01-22,425313.28,425313.28,7,Late
PMT000020,LN00002,2025-02-21,425313.28,425313.28,0,On-time
PMT000021,LN00002,2025-03-23,425313.28,425313.28,0,On-time
PMT000022,LN00002,2025-04-22,425313.28,425313.28,0,On-time
PMT000023,LN00002,2025-05-22,425313.28,425313.28,0,On-time
PMT000024,LN00002,2025-06-21,425313.28,425313.28,0,On-time
PMT000025,LN00002,2025-07-21,425313.28,425313.28,0,On-time
PMT000026,LN00002,2025-08-20,425313.28,425313.28,0,On-time
PMT000027,LN00002,2025-09-19,425313.28,0.0,43,Missed
PMT000028,LN00002,2025-10-19,425313.28,425313.28,0,On-time
PMT000029,LN00002,2025-11-18,425313.28,425313.28,0,On-time
PMT000030,LN00003,2021-10-01,62859.7,62859.7,0,On-time
PMT000031,LN00003,2021-10-31,62859.7,62859.7,6,Late
PMT000032,LN00003,2021-11-30,62859.7,62859.7,0,On-time
PMT000033,LN00003,2021-12-30,62859.7,62859.7,0,On-time
PMT000034,LN00003,2022-01-29,62859.7,62859.7,0,On-time
PMT000035,LN00003,2022-02-28,62859.7,62859.7,0,On-time
PMT000036,LN00003,2022-03-30,62859.7,0.0,56,Missed
PMT000037,LN00003,2022-04-29,62859.7,62859.7,0,On-time
PMT000038,LN00003,2022-05-29,62859.7,62859.7,0,On-time
PMT000039,LN00003,2022-06-28,62859.7,62859.7,0,On-time
PMT000040,LN00003,2022-07-28,62859.7,62859.7,0,On-time
PMT000041,LN00003,2022-08-27,62859.7,62859.7,0,On-time
PMT000042,LN00003,2022-09-26,62859.7,62859.7,0,On-time
PMT000043,LN00003,2022-10-26,62859.7,0.0,36,Missed
PMT000044,LN00003,2022-11-25,62859.7,62859.7,0,On-time
PMT000045,LN00003,2022-12-25,62859.7,62859.7,0,On-time
PMT000046,LN00003,2023-01-24,62859.7,62859.7,0,On-time
PMT000047,LN00003,2023-02-23,62859.7,62859.7,0,On-time
PMT000048,LN00003,2023-03-25,62859.7,62859.7,0,On-time
PMT000049,LN00003,2023-04-24,62859.7,62859.7,0,On-time
PMT000050,LN00003,2023-05-24,62859.7,62859.7,0,On-time
PMT000051,LN00003,2023-06-23,62859.7,62859.7,0,On-time
PMT000052,LN00003,2023-07-23,62859.7,62859.7,0,On-time
PMT000053,LN00003,2023-08-22,62859.7,62859.7,0,On-time
PMT000054,LN00003,2023-09-21,62859.7,62859.7,0,On-time
PMT000055,LN00003,2023-10-21,62859.7,62859.7,0,On-time
PMT000056,LN00003,2023-11-20,62859.7,62859.7,0,On-time
PMT000057,LN00003,2023-12-20,62859.7,62859.7,0,On-time
PMT000058,LN00003,2024-01-19,62859.7,62859.7,0,On-time
PMT000059,LN00003,2024-02-18,62859.7,62859.7,23,Late
PMT000060,LN00003,2024-03-19,62859.7,62859.7,0,On-time
PMT000061,LN00003,2024-04-18,62859.7,62859.7,11,Late
PMT000062,LN00003,2024-05-18,62859.7,62859.7,0,On-time
PMT000063,LN00003,2024-06-17,62859.7,62859.7,16,Late
PMT000064,LN00004,2021-04-23,7348.66,7348.66,0,On-time
PMT000065,LN00004,2021-05-23,7348.66,7348.66,0,On-time
PMT000066,LN00004,2021-06-22,7348.66,7348.66,0,On-time
PMT000067,LN00004,2021-07-22,7348.66,7348.66,0,On-time
PMT000068,LN00004,2021-08-21,7348.66,7348.66,0,On-time
PMT000069,LN00004,2021-09-20,7348.66,7348.66,0,On-time
PMT000070,LN00004,2021-10-20,7348.66,7348.66,0,On-time
PMT000071,LN00004,2021-11-19,7348.66,0.0,40,Missed
PMT000072,LN00004,2021-12-19,7348.66,7348.66,0,On-time
PMT000073,LN00004,2022-01-18,7348.66,7348.66,0,On-time
PMT000074,LN00004,2022-02-17,7348.66,7348.66,8,Late
PMT000075,LN00004,2022-03-19,7348.66,7348.66,0,On-time
PMT000076,LN00004,2022-04-18,7348.66,7348.66,0,On-time
PMT000077,LN00004,2022-05-18,7348.66,7348.66,0,On-time
PMT000078,LN00004,2022-06-17,7348.66,7348.66,0,On-time
PMT000079,LN00004,2022-07-17,7348.66,7348.66,0,On-time
PMT000080,LN00004,2022-08-16,7348.66,7348.66,20,Late
PMT000081,LN00004,2022-09-15,7348.66,7348.66,0,On-time
PMT000082,LN00004,2022-10-15,7348.66,7348.66,0,On-time
PMT000083,LN00004,2022-11-14,7348.66,7348.66,0,On-time
PMT000084,LN00005,2022-09-25,26498.96,26498.96,0,On-time
PMT000085,LN00005,2022-10-25,26498.96,26498.96,0,On-time
PMT000086,LN00005,2022-11-24,26498.96,26498.96,0,On-time
PMT000087,LN00005,2022-12-24,26498.96,26498.96,23,Late
PMT000088,LN00005,2023-01-23,26498.96,26498.96,0,On-time
PMT000089,LN00005,2023-02-22,26498.96,26498.96,2,Late
PMT000090,LN00005,2023-03-24,26498.96,26498.96,0,On-time
PMT000091,LN00005,2023-04-23,26498.96,26498.96,0,On-time
PMT000092,LN00005,2023-05-23,26498.96,26498.96,0,On-time
PMT000093,LN00005,2023-06-22,26498.96,26498.96,0,On-time
PMT000094,LN00005,2023-07-22,26498.96,26498.96,0,On-time
PMT000095,LN00005,2023-08-21,26498.96,26498.96,0,On-time
PMT000096,LN00005,2023-09-20,26498.96,26498.96,11,Late
PMT000097,LN00005,2023-10-20,26498.96,26498.96,0,On-time
PMT000098,LN00005,2023-11-19,26498.96,26498.96,0,On-time
PMT000099,LN00005,2023-12-19,26498.96,26498.96,7,Late
PMT000100,LN00005,2024-01-18,26498.96,26498.96,21,Late
PMT000101,LN00005,2024-02-17,26498.96,26498.96,0,On-time
PMT000102,LN00005,2024-03-18,26498.96,26498.96,20,Late
PMT000103,LN00005,2024-04-17,26498.96,26498.96,0,On-time
PMT000104,LN00006,2026-01-25,64187.79,64187.79,0,On-time
PMT000105,LN00006,2026-02-24,64187.79,64187.79,0,On-time
PMT000106,LN00006,2026-03-26,64187.79,64187.79,10,Late
PMT000107,LN00006,2026-04-25,64187.79,64187.79,0,On-time
PMT000108,LN00006,2026-05-25,64187.79,64187.79,0,On-time
PMT000109,LN00006,2026-06-24,64187.79,64187.79,0,On-time
PMT000110,LN00007,2024-02-26,28019.77,28019.77,0,On-time
PMT000111,LN00007,2024-03-27,28019.77,28019.77,0,On-time
PMT000112,LN00007,2024-04-26,28019.77,28019.77,0,On-time
PMT000113,LN00008,2022-12-23,25623.54,25623.54,0,On-time
PMT000114,LN00008,2023-01-22,25623.54,25623.54,3,Late
PMT000115,LN00008,2023-02-21,25623.54,25623.54,0,On-time
PMT000116,LN00008,2023-03-23,25623.54,25623.54,5,Late
PMT000117,LN00009,2024-08-26,73501.8,73501.8,0,On-time
PMT000118,LN00009,2024-09-25,73501.8,73501.8,0,On-time
PMT000119,LN00009,2024-10-25,73501.8,73501.8,0,On-time
PMT000120,LN00009,2024-11-24,73501.8,73501.8,4,Late
PMT000121,LN00009,2024-12-24,73501.8,73501.8,15,Late
PMT000122,LN00009,2025-01-23,73501.8,73501.8,0,On-time
PMT000123,LN00009,2025-02-22,73501.8,73501.8,0,On-time
PMT000124,LN00009,2025-03-24,73501.8,73501.8,0,On-time
PMT000125,LN00009,2025-04-23,73501.8,73501.8,0,On-time
PMT000126,LN00009,2025-05-23,73501.8,73501.8,0,On-time
PMT000127,LN00009,2025-06-22,73501.8,0.0,33,Missed
PMT000128,LN00009,2025-07-22,73501.8,73501.8,0,On-time
PMT000129,LN00009,2025-08-21,73501.8,73501.8,0,On-time
PMT000130,LN00009,2025-09-20,73501.8,73501.8,0,On-time
PMT000131,LN00009,2025-10-20,73501.8,,0,On-time
PMT000132,LN00009,2025-11-19,73501.8,73501.8,13,Late
PMT000133,LN00009,2025-12-19,73501.8,73501.8,0,On-time
PMT000134,LN00009,2026-01-18,73501.8,73501.8,0,On-time
PMT000135,LN00009,2026-02-17,73501.8,73501.8,0,On-time
PMT000136,LN00009,2026-03-19,73501.8,73501.8,0,On-time
PMT000137,LN00009,2026-04-18,73501.8,73501.8,0,On-time
PMT000138,LN00009,2026-05-18,73501.8,73501.8,2,Late
PMT000139,LN00009,2026-06-17,73501.8,73501.8,0,On-time
PMT000140,LN00009,2026-07-17,73501.8,73501.8,0,On-time
PMT000141,LN00010,2021-08-01,49350.34,49350.34,0,On-time
PMT000142,LN00010,2021-08-31,49350.34,49350.34,0,On-time
PMT000143,LN00010,2021-09-30,49350.34,49350.34,0,On-time
PMT000144,LN00010,2021-10-30,49350.34,49350.34,0,On-time
PMT000145,LN00010,2021-11-29,49350.34,49350.34,0,On-time
PMT000146,LN00010,2021-12-29,49350.34,49350.34,5,Late
PMT000147,LN00010,2022-01-28,49350.34,49350.34,0,On-time
PMT000148,LN00010,2022-02-27,49350.34,49350.34,0,On-time
PMT000149,LN00010,2022-03-29,49350.34,49350.34,8,Late
PMT000150,LN00010,2022-04-28,49350.34,49350.34,0,On-time
PMT000151,LN00010,2022-05-28,49350.34,49350.34,0,On-time
PMT000152,LN00010,2022-06-27,49350.34,49350.34,0,On-time
PMT000153,LN00010,2022-07-27,49350.34,,0,On-time
PMT000154,LN00010,2022-08-26,49350.34,49350.34,0,On-time
PMT000155,LN00010,2022-09-25,49350.34,49350.34,0,On-time
PMT000156,LN00010,2022-10-25,49350.34,49350.34,0,On-time
PMT000157,LN00010,2022-11-24,49350.34,49350.34,0,On-time
PMT000158,LN00010,2022-12-24,49350.34,49350.34,0,On-time
PMT000159,LN00010,2023-01-23,49350.34,49350.34,23,Late
PMT000160,LN00010,2023-02-22,49350.34,49350.34,0,On-time
PMT000161,LN00010,2023-03-24,49350.34,49350.34,7,Late
PMT000162,LN00010,2023-04-23,49350.34,49350.34,0,On-time
PMT000163,LN00010,2023-05-23,49350.34,49350.34,0,On-time
PMT000164,LN00010,2023-06-22,49350.34,49350.34,9,Late
PMT000165,LN00010,2023-07-22,49350.34,49350.34,0,On-time
PMT000166,LN00010,2023-08-21,49350.34,49350.34,0,On-time
PMT000167,LN00010,2023-09-20,49350.34,49350.34,0,On-time
PMT000168,LN00010,2023-10-20,49350.34,49350.34,0,On-time
PMT000169,LN00010,2023-11-19,49350.34,,0,On-time
PMT000170,LN00010,2023-12-19,49350.34,49350.34,0,On-time
PMT000171,LN00010,2024-01-18,49350.34,49350.34,0,On-time
PMT000172,LN00010,2024-02-17,49350.34,49350.34,0,On-time
PMT000173,LN00010,2024-03-18,49350.34,49350.34,5,Late
PMT000174,LN00010,2024-04-17,49350.34,0.0,34,Missed
PMT000175,LN00010,2024-05-17,49350.34,49350.34,0,On-time
PMT000176,LN00010,2024-06-16,49350.34,,0,On-time
PMT000177,LN00010,2024-07-16,49350.34,49350.34,22,Late
PMT000178,LN00010,2024-08-15,49350.34,49350.34,0,On-time
PMT000179,LN00010,2024-09-14,49350.34,49350.34,0,On-time
PMT000180,LN00011,2024-02-12,27076.09,27076.09,0,On-time
PMT000181,LN00011,2024-03-13,27076.09,27076.09,0,On-time
PMT000182,LN00011,2024-04-12,27076.09,27076.09,0,On-time
PMT000183,LN00011,2024-05-12,27076.09,27076.09,0,On-time
PMT000184,LN00011,2024-06-11,27076.09,27076.09,0,On-time
PMT000185,LN00011,2024-07-11,27076.09,27076.09,0,On-time
PMT000186,LN00011,2024-08-10,27076.09,27076.09,0,On-time
PMT000187,LN00011,2024-09-09,27076.09,27076.09,0,On-time
PMT000188,LN00011,2024-10-09,27076.09,27076.09,0,On-time
PMT000189,LN00011,2024-11-08,27076.09,27076.09,0,On-time
PMT000190,LN00011,2024-12-08,27076.09,27076.09,0,On-time
PMT000191,LN00011,2025-01-07,27076.09,27076.09,0,On-time
PMT000192,LN00011,2025-02-06,27076.09,27076.09,6,Late
PMT000193,LN00011,2025-03-08,27076.09,27076.09,0,On-time
PMT000194,LN00011,2025-04-07,27076.09,27076.09,0,On-time
PMT000195,LN00011,2025-05-07,27076.09,27076.09,0,On-time
PMT000196,LN00011,2025-06-06,27076.09,27076.09,0,On-time
PMT000197,LN00011,2025-07-06,27076.09,27076.09,0,On-time
PMT000198,LN00011,2025-08-05,27076.09,27076.09,0,On-time
PMT000199,LN00011,2025-09-04,27076.09,27076.09,0,On-time
PMT000200,LN00011,2025-10-04,27076.09,27076.09,0,On-time
PMT000201,LN00012,2025-01-18,30798.64,30798.64,9,Late
PMT000202,LN00012,2025-02-17,30798.64,30798.64,0,On-time
PMT000203,LN00012,2025-03-19,30798.64,30798.64,0,On-time
PMT000204,LN00012,2025-04-18,30798.64,30798.64,0,On-time
PMT000205,LN00012,2025-05-18,30798.64,30798.64,0,On-time
PMT000206,LN00012,2025-06-17,30798.64,30798.64,0,On-time
PMT000207,LN00012,2025-07-17,30798.64,30798.64,0,On-time
PMT000208,LN00012,2025-08-16,30798.64,30798.64,0,On-time
PMT000209,LN00012,2025-09-15,30798.64,30798.64,0,On-time
PMT000210,LN00012,2025-10-15,30798.64,30798.64,0,On-time
PMT000211,LN00012,2025-11-14,30798.64,30798.64,0,On-time
PMT000212,LN00012,2025-12-14,30798.64,30798.64,0,On-time
PMT000213,LN00012,2026-01-13,30798.64,30798.64,0,On-time
PMT000214,LN00012,2026-02-12,30798.64,30798.64,24,Late
PMT000215,LN00012,2026-03-14,30798.64,30798.64,7,Late
PMT000216,LN00013,2022-03-01,54054.9,0.0,45,Missed
PMT000217,LN00013,2022-03-31,54054.9,0.0,39,Missed
PMT000218,LN00013,2022-04-30,54054.9,0.0,45,Missed
PMT000219,LN00013,2022-05-30,54054.9,54054.9,2,Late
PMT000220,LN00013,2022-06-29,54054.9,0.0,40,Missed
PMT000221,LN00013,2022-07-29,54054.9,0.0,42,Missed
PMT000222,LN00013,2022-08-28,54054.9,54054.9,1,Late
